Uid,Pid,Time
942,582,2012-04-03 16:21:00
737,1669,2012-04-03 16:21:00
894,1566,2012-04-03 16:23:00
664,625,2012-04-03 16:26:00
365,44,2012-04-03 16:26:00
184,3058,2012-04-03 16:27:00
174,2671,2012-04-03 16:27:00
326,637,2012-04-03 16:27:00
367,362,2012-04-03 16:27:00
1051,4991,2012-04-03 16:29:00
598,1994,2012-04-03 16:32:00
246,512,2012-04-03 16:34:00
55,2023,2012-04-03 16:38:00
918,4895,2012-04-03 16:38:00
418,3178,2012-04-03 16:39:00
658,2835,2012-04-03 16:40:00
110,3048,2012-04-03 16:41:00
219,3102,2012-04-03 16:42:00
903,1252,2012-04-03 16:43:00
325,4954,2012-04-03 16:45:00
51,3,2012-04-03 16:45:00
325,4954,2012-04-03 16:46:00
894,4891,2012-04-03 16:46:00
40,2420,2012-04-03 16:48:00
733,4140,2012-04-03 16:49:00
326,3188,2012-04-03 16:50:00
326,3098,2012-04-03 16:50:00
721,4680,2012-04-03 16:52:00
664,3682,2012-04-03 16:52:00
1051,2088,2012-04-03 16:54:00
963,1017,2012-04-03 16:55:00
1051,2525,2012-04-03 16:55:00
963,325,2012-04-03 16:55:00
1051,564,2012-04-03 16:56:00
7,1412,2012-04-03 16:57:00
74,1161,2012-04-03 16:57:00
7,4477,2012-04-03 16:57:00
347,1757,2012-04-03 16:58:00
952,774,2012-04-03 16:58:00
246,3054,2012-04-03 17:00:00
858,671,2012-04-03 17:00:00
914,3503,2012-04-03 17:00:00
745,4743,2012-04-03 17:01:00
920,2128,2012-04-03 17:02:00
1051,3852,2012-04-03 17:02:00
894,1339,2012-04-03 17:03:00
72,4956,2012-04-03 17:09:00
322,3540,2012-04-03 17:10:00
157,1832,2012-04-03 17:12:00
908,4583,2012-04-03 17:12:00
1052,1862,2012-04-03 17:13:00
966,3258,2012-04-03 17:13:00
908,205,2012-04-03 17:14:00
1043,5092,2012-04-03 17:14:00
467,655,2012-04-03 17:14:00
384,4192,2012-04-03 17:15:00
518,825,2012-04-03 17:15:00
41,4665,2012-04-03 17:16:00
487,1591,2012-04-03 17:17:00
673,3188,2012-04-03 17:18:00
1005,3235,2012-04-03 17:21:00
223,1028,2012-04-03 17:24:00
817,5111,2012-04-03 17:24:00
817,3477,2012-04-03 17:26:00
727,3270,2012-04-03 17:26:00
174,1817,2012-04-03 17:27:00
102,1271,2012-04-03 17:29:00
829,2975,2012-04-03 17:31:00
249,642,2012-04-03 17:32:00
72,17,2012-04-03 17:32:00
98,4072,2012-04-03 17:33:00
85,4407,2012-04-03 17:33:00
692,2685,2012-04-03 17:33:00
65,32,2012-04-03 17:34:00
72,4968,2012-04-03 17:34:00
55,1362,2012-04-03 17:34:00
165,4049,2012-04-03 17:35:00
111,763,2012-04-03 17:35:00
176,3485,2012-04-03 17:36:00
55,4558,2012-04-03 17:36:00
190,4683,2012-04-03 17:37:00
449,3841,2012-04-03 17:38:00
940,2659,2012-04-03 17:38:00
126,323,2012-04-03 17:38:00
222,4295,2012-04-03 17:38:00
1063,3900,2012-04-03 17:41:00
336,660,2012-04-03 17:42:00
552,215,2012-04-03 17:42:00
249,410,2012-04-03 17:42:00
249,5110,2012-04-03 17:43:00
691,1477,2012-04-03 17:44:00
248,2504,2012-04-03 17:44:00
1003,487,2012-04-03 17:44:00
407,3237,2012-04-03 17:46:00
174,3336,2012-04-03 17:48:00
841,4097,2012-04-03 17:50:00
720,2370,2012-04-03 17:50:00
643,3686,2012-04-03 17:51:00
894,1047,2012-04-03 17:51:00
643,1545,2012-04-03 17:51:00
218,2952,2012-04-03 17:52:00
255,1980,2012-04-03 17:52:00
188,3788,2012-04-03 17:52:00
673,2959,2012-04-03 17:53:00
218,4793,2012-04-03 17:54:00
781,2118,2012-04-03 17:54:00
218,2837,2012-04-03 17:54:00
863,4343,2012-04-03 17:55:00
111,2061,2012-04-03 17:55:00
804,3635,2012-04-03 17:55:00
804,5003,2012-04-03 17:56:00
365,1752,2012-04-03 17:56:00
365,3987,2012-04-03 17:56:00
928,3602,2012-04-03 17:57:00
215,5123,2012-04-03 17:57:00
952,1694,2012-04-03 17:58:00
1036,1168,2012-04-03 17:58:00
534,3390,2012-04-03 17:59:00
862,392,2012-04-03 18:00:00
386,5104,2012-04-03 18:01:00
680,4213,2012-04-03 18:02:00
33,3961,2012-04-03 18:03:00
786,2793,2012-04-03 18:03:00
642,857,2012-04-03 18:04:00
174,5055,2012-04-03 18:05:00
343,2479,2012-04-03 18:05:00
461,2814,2012-04-03 18:06:00
871,1734,2012-04-03 18:07:00
947,2181,2012-04-03 18:08:00
90,4264,2012-04-03 18:08:00
376,3061,2012-04-03 18:11:00
255,2407,2012-04-03 18:11:00
476,4365,2012-04-03 18:12:00
407,4940,2012-04-03 18:13:00
95,5112,2012-04-03 18:13:00
375,4582,2012-04-03 18:14:00
249,2841,2012-04-03 18:14:00
794,3053,2012-04-03 18:15:00
854,258,2012-04-03 18:16:00
499,2667,2012-04-03 18:16:00
25,2101,2012-04-03 18:18:00
300,764,2012-04-03 18:18:00
698,2790,2012-04-03 18:18:00
666,3144,2012-04-03 18:18:00
666,4710,2012-04-03 18:18:00
176,846,2012-04-03 18:19:00
887,807,2012-04-03 18:19:00
255,754,2012-04-03 18:19:00
344,3239,2012-04-03 18:20:00
1037,4994,2012-04-03 18:21:00
344,1854,2012-04-03 18:21:00
397,2210,2012-04-03 18:23:00
1025,3199,2012-04-03 18:24:00
1003,1617,2012-04-03 18:24:00
1019,1161,2012-04-03 18:25:00
910,961,2012-04-03 18:26:00
955,4300,2012-04-03 18:28:00
435,1639,2012-04-03 18:28:00
157,36,2012-04-03 18:29:00
658,2836,2012-04-03 18:29:00
157,2165,2012-04-03 18:29:00
1050,1161,2012-04-03 18:29:00
766,2149,2012-04-03 18:30:00
188,446,2012-04-03 18:30:00
1018,1686,2012-04-03 18:30:00
1068,440,2012-04-03 18:30:00
746,2845,2012-04-03 18:33:00
807,582,2012-04-03 18:35:00
911,2690,2012-04-03 18:36:00
230,5073,2012-04-03 18:36:00
494,4288,2012-04-03 18:36:00
451,350,2012-04-03 18:36:00
437,4405,2012-04-03 18:37:00
1048,3678,2012-04-03 18:37:00
312,1275,2012-04-03 18:38:00
1064,706,2012-04-03 18:39:00
742,1087,2012-04-03 18:39:00
878,3413,2012-04-03 18:40:00
186,4951,2012-04-03 18:41:00
1060,4353,2012-04-03 18:44:00
1060,1076,2012-04-03 18:44:00
19,2576,2012-04-03 18:45:00
868,1218,2012-04-03 18:45:00
292,2230,2012-04-03 18:45:00
155,271,2012-04-03 18:45:00
292,4145,2012-04-03 18:45:00
768,964,2012-04-03 18:46:00
940,3035,2012-04-03 18:46:00
940,1204,2012-04-03 18:46:00
292,365,2012-04-03 18:46:00
940,1317,2012-04-03 18:46:00
715,1779,2012-04-03 18:47:00
787,3376,2012-04-03 18:48:00
540,3745,2012-04-03 18:49:00
697,3556,2012-04-03 18:49:00
157,4911,2012-04-03 18:50:00
157,3109,2012-04-03 18:50:00
511,2644,2012-04-03 18:50:00
111,1582,2012-04-03 18:51:00
317,4918,2012-04-03 18:52:00
906,3517,2012-04-03 18:53:00
190,931,2012-04-03 18:53:00
402,1886,2012-04-03 18:53:00
292,3850,2012-04-03 18:54:00
292,1986,2012-04-03 18:54:00
407,690,2012-04-03 18:54:00
185,3261,2012-04-03 18:54:00
754,1226,2012-04-03 18:55:00
138,1291,2012-04-03 18:57:00
983,627,2012-04-03 18:58:00
600,4849,2012-04-03 18:59:00
407,123,2012-04-03 19:00:00
623,301,2012-04-03 19:02:00
155,2527,2012-04-03 19:02:00
1033,4794,2012-04-03 19:03:00
937,43,2012-04-03 19:04:00
950,4794,2012-04-03 19:04:00
893,2710,2012-04-03 19:04:00
436,4817,2012-04-03 19:05:00
802,4302,2012-04-03 19:06:00
185,733,2012-04-03 19:06:00
157,4872,2012-04-03 19:06:00
883,1409,2012-04-03 19:07:00
697,4617,2012-04-03 19:08:00
259,1593,2012-04-03 19:08:00
325,4954,2012-04-03 19:09:00
560,2941,2012-04-03 19:10:00
38,57,2012-04-03 19:10:00
352,4849,2012-04-03 19:11:00
432,4757,2012-04-03 19:13:00
493,2612,2012-04-03 19:13:00
198,3396,2012-04-03 19:13:00
265,150,2012-04-03 19:13:00
26,1214,2012-04-03 19:13:00
26,3134,2012-04-03 19:14:00
495,3432,2012-04-03 19:14:00
535,3171,2012-04-03 19:14:00
196,864,2012-04-03 19:15:00
248,687,2012-04-03 19:15:00
838,3877,2012-04-03 19:15:00
955,2432,2012-04-03 19:16:00
838,302,2012-04-03 19:16:00
440,1487,2012-04-03 19:17:00
166,4349,2012-04-03 19:17:00
985,1303,2012-04-03 19:21:00
342,1401,2012-04-03 19:21:00
853,5053,2012-04-03 19:22:00
31,1364,2012-04-03 19:22:00
495,2867,2012-04-03 19:22:00
185,650,2012-04-03 19:22:00
950,2836,2012-04-03 19:24:00
517,4044,2012-04-03 19:27:00
828,4044,2012-04-03 19:27:00
666,2770,2012-04-03 19:27:00
407,5110,2012-04-03 19:27:00
492,1221,2012-04-03 19:27:00
668,3905,2012-04-03 19:28:00
817,2497,2012-04-03 19:28:00
28,3356,2012-04-03 19:29:00
903,179,2012-04-03 19:30:00
1021,1928,2012-04-03 19:30:00
249,4083,2012-04-03 19:30:00
956,2752,2012-04-03 19:30:00
552,4311,2012-04-03 19:32:00
166,3188,2012-04-03 19:33:00
47,4409,2012-04-03 19:37:00
560,443,2012-04-03 19:37:00
509,4486,2012-04-03 19:39:00
252,1544,2012-04-03 19:39:00
54,82,2012-04-03 19:40:00
841,3806,2012-04-03 19:42:00
255,4824,2012-04-03 19:42:00
407,1267,2012-04-03 19:43:00
397,3849,2012-04-03 19:43:00
487,523,2012-04-03 19:44:00
134,2022,2012-04-03 19:45:00
249,4376,2012-04-03 19:45:00
255,631,2012-04-03 19:46:00
387,4617,2012-04-03 19:48:00
1030,2293,2012-04-03 19:48:00
387,1329,2012-04-03 19:48:00
859,4044,2012-04-03 19:48:00
451,2513,2012-04-03 19:48:00
412,2800,2012-04-03 19:49:00
249,3828,2012-04-03 19:50:00
317,3262,2012-04-03 19:50:00
132,1425,2012-04-03 19:50:00
132,1425,2012-04-03 19:50:00
408,3481,2012-04-03 19:51:00
176,4931,2012-04-03 19:51:00
529,880,2012-04-03 19:51:00
249,2201,2012-04-03 19:51:00
84,666,2012-04-03 19:52:00
570,2390,2012-04-03 19:54:00
728,2297,2012-04-03 19:54:00
134,4648,2012-04-03 19:56:00
258,1690,2012-04-03 19:56:00
783,2160,2012-04-03 19:59:00
1011,4701,2012-04-03 19:59:00
618,1928,2012-04-03 20:01:00
525,1477,2012-04-03 20:02:00
162,2430,2012-04-03 20:03:00
165,4226,2012-04-03 20:03:00
295,3278,2012-04-03 20:03:00
809,575,2012-04-03 20:03:00
71,613,2012-04-03 20:04:00
165,1008,2012-04-03 20:04:00
927,3119,2012-04-03 20:06:00
249,4090,2012-04-03 20:07:00
746,76,2012-04-03 20:09:00
552,3592,2012-04-03 20:09:00
22,3685,2012-04-03 20:09:00
693,4457,2012-04-03 20:09:00
332,4205,2012-04-03 20:10:00
1051,1937,2012-04-03 20:11:00
46,3979,2012-04-03 20:13:00
109,3184,2012-04-03 20:13:00
681,3700,2012-04-03 20:13:00
683,789,2012-04-03 20:13:00
953,1401,2012-04-03 20:14:00
112,2399,2012-04-03 20:14:00
1051,1313,2012-04-03 20:15:00
61,281,2012-04-03 20:15:00
953,2612,2012-04-03 20:15:00
159,2854,2012-04-03 20:17:00
673,4918,2012-04-03 20:18:00
258,3329,2012-04-03 20:19:00
774,4067,2012-04-03 20:19:00
903,3998,2012-04-03 20:19:00
258,222,2012-04-03 20:19:00
258,3767,2012-04-03 20:21:00
975,1350,2012-04-03 20:23:00
255,1637,2012-04-03 20:23:00
988,4625,2012-04-03 20:24:00
339,621,2012-04-03 20:25:00
598,3019,2012-04-03 20:26:00
261,510,2012-04-03 20:27:00
397,1590,2012-04-03 20:27:00
1071,4310,2012-04-03 20:28:00
1069,4028,2012-04-03 20:28:00
830,550,2012-04-03 20:29:00
440,346,2012-04-03 20:30:00
31,522,2012-04-03 20:30:00
101,1716,2012-04-03 20:32:00
111,2092,2012-04-03 20:32:00
403,4794,2012-04-03 20:33:00
387,2431,2012-04-03 20:33:00
88,2693,2012-04-03 20:33:00
682,3563,2012-04-03 20:34:00
1039,3156,2012-04-03 20:34:00
419,1755,2012-04-03 20:34:00
950,1072,2012-04-03 20:35:00
516,915,2012-04-03 20:36:00
823,1989,2012-04-03 20:37:00
344,3560,2012-04-03 20:38:00
155,1141,2012-04-03 20:39:00
746,714,2012-04-03 20:39:00
657,3864,2012-04-03 20:40:00
125,1369,2012-04-03 20:40:00
125,1988,2012-04-03 20:40:00
677,2228,2012-04-03 20:42:00
823,3785,2012-04-03 20:42:00
830,949,2012-04-03 20:44:00
82,4408,2012-04-03 20:44:00
155,1430,2012-04-03 20:45:00
223,1028,2012-04-03 20:46:00
155,3674,2012-04-03 20:47:00
493,4343,2012-04-03 20:49:00
1020,2877,2012-04-03 20:51:00
165,1159,2012-04-03 20:52:00
694,2071,2012-04-03 20:52:00
911,5021,2012-04-03 20:53:00
266,1161,2012-04-03 20:54:00
1068,3328,2012-04-03 20:55:00
1066,1385,2012-04-03 20:56:00
265,2000,2012-04-03 20:56:00
830,1454,2012-04-03 20:56:00
567,3859,2012-04-03 20:57:00
303,1676,2012-04-03 20:58:00
783,2160,2012-04-03 21:00:00
218,1583,2012-04-03 21:00:00
335,2744,2012-04-03 21:01:00
176,4361,2012-04-03 21:01:00
102,3278,2012-04-03 21:01:00
963,1817,2012-04-03 21:04:00
290,1548,2012-04-03 21:05:00
281,1999,2012-04-03 21:05:00
40,3080,2012-04-03 21:06:00
830,1161,2012-04-03 21:09:00
395,1822,2012-04-03 21:10:00
369,1735,2012-04-03 21:10:00
746,251,2012-04-03 21:11:00
660,4067,2012-04-03 21:11:00
557,2771,2012-04-03 21:12:00
493,2790,2012-04-03 21:13:00
830,1161,2012-04-03 21:13:00
419,4032,2012-04-03 21:13:00
890,4286,2012-04-03 21:14:00
715,1845,2012-04-03 21:16:00
157,2150,2012-04-03 21:17:00
157,1529,2012-04-03 21:18:00
157,4314,2012-04-03 21:18:00
157,4935,2012-04-03 21:19:00
830,446,2012-04-03 21:20:00
741,3720,2012-04-03 21:21:00
524,4028,2012-04-03 21:24:00
95,39,2012-04-03 21:25:00
496,2752,2012-04-03 21:26:00
115,1455,2012-04-03 21:26:00
466,4059,2012-04-03 21:26:00
115,3912,2012-04-03 21:26:00
463,3488,2012-04-03 21:27:00
1051,2775,2012-04-03 21:28:00
667,657,2012-04-03 21:30:00
38,2806,2012-04-03 21:30:00
165,2939,2012-04-03 21:31:00
484,472,2012-04-03 21:32:00
509,4331,2012-04-03 21:37:00
815,1778,2012-04-03 21:38:00
847,3305,2012-04-03 21:39:00
770,1932,2012-04-03 21:40:00
414,193,2012-04-03 21:42:00
830,4352,2012-04-03 21:42:00
161,3604,2012-04-03 21:42:00
387,1877,2012-04-03 21:44:00
906,2236,2012-04-03 21:45:00
741,370,2012-04-03 21:47:00
711,257,2012-04-03 21:47:00
623,268,2012-04-03 21:47:00
693,3075,2012-04-03 21:47:00
830,996,2012-04-03 21:48:00
756,2472,2012-04-03 21:49:00
575,4041,2012-04-03 21:49:00
1023,945,2012-04-03 21:49:00
1051,3859,2012-04-03 21:50:00
830,2042,2012-04-03 21:51:00
92,123,2012-04-03 21:52:00
293,1933,2012-04-03 21:55:00
871,4679,2012-04-03 21:56:00
794,1836,2012-04-03 21:58:00
406,3565,2012-04-03 22:00:00
176,231,2012-04-03 22:00:00
98,968,2012-04-03 22:01:00
467,4785,2012-04-03 22:02:00
511,5133,2012-04-03 22:03:00
57,3127,2012-04-03 22:05:00
574,137,2012-04-03 22:06:00
583,1317,2012-04-03 22:11:00
583,1317,2012-04-03 22:11:00
387,1329,2012-04-03 22:12:00
60,2720,2012-04-03 22:13:00
387,4617,2012-04-03 22:13:00
493,58,2012-04-03 22:14:00
965,2725,2012-04-03 22:15:00
771,23,2012-04-03 22:17:00
267,123,2012-04-03 22:18:00
771,3911,2012-04-03 22:20:00
914,1209,2012-04-03 22:21:00
432,4784,2012-04-03 22:21:00
320,1429,2012-04-03 22:23:00
267,4698,2012-04-03 22:24:00
249,278,2012-04-03 22:26:00
364,3276,2012-04-03 22:27:00
661,3380,2012-04-03 22:27:00
554,4253,2012-04-03 22:28:00
365,3078,2012-04-03 22:31:00
267,4617,2012-04-03 22:31:00
365,3970,2012-04-03 22:32:00
168,4665,2012-04-03 22:32:00
365,1661,2012-04-03 22:32:00
946,4873,2012-04-03 22:41:00
689,7,2012-04-03 22:41:00
805,1969,2012-04-03 22:44:00
494,237,2012-04-03 22:44:00
552,4311,2012-04-03 22:49:00
673,2959,2012-04-03 22:51:00
159,2466,2012-04-03 22:52:00
959,1711,2012-04-03 22:56:00
511,3747,2012-04-03 22:58:00
1001,3331,2012-04-03 23:03:00
503,3705,2012-04-03 23:03:00
176,1709,2012-04-03 23:07:00
688,3789,2012-04-03 23:08:00
747,1599,2012-04-03 23:09:00
747,4199,2012-04-03 23:09:00
503,3705,2012-04-03 23:13:00
503,3705,2012-04-03 23:13:00
503,4479,2012-04-03 23:15:00
685,740,2012-04-03 23:16:00
376,769,2012-04-03 23:18:00
56,2492,2012-04-03 23:18:00
716,3923,2012-04-03 23:20:00
716,4510,2012-04-03 23:21:00
67,2590,2012-04-03 23:23:00
166,1611,2012-04-03 23:27:00
956,4044,2012-04-03 23:28:00
312,768,2012-04-03 23:28:00
576,4417,2012-04-03 23:33:00
458,561,2012-04-03 23:34:00
576,374,2012-04-03 23:36:00
985,2427,2012-04-03 23:40:00
985,4463,2012-04-03 23:40:00
261,3979,2012-04-03 23:42:00
903,4236,2012-04-03 23:46:00
576,2248,2012-04-03 23:46:00
861,2090,2012-04-03 23:46:00
576,2469,2012-04-03 23:47:00
652,154,2012-04-03 23:48:00
176,2093,2012-04-03 23:48:00
177,4981,2012-04-03 23:50:00
177,3402,2012-04-03 23:50:00
358,598,2012-04-03 23:51:00
387,4481,2012-04-03 23:51:00
378,1656,2012-04-03 23:53:00
722,3909,2012-04-03 23:54:00
317,4321,2012-04-03 23:56:00
42,1139,2012-04-03 23:59:00
502,2647,2012-04-04 00:03:00
661,4993,2012-04-04 00:05:00
908,2030,2012-04-04 00:06:00
889,4929,2012-04-04 00:07:00
67,3742,2012-04-04 00:08:00
467,4737,2012-04-04 00:08:00
583,2622,2012-04-04 00:10:00
285,3685,2012-04-04 00:11:00
825,4343,2012-04-04 00:11:00
333,69,2012-04-04 00:13:00
333,3428,2012-04-04 00:14:00
333,2045,2012-04-04 00:15:00
199,4647,2012-04-04 00:17:00
176,1500,2012-04-04 00:18:00
794,1708,2012-04-04 00:21:00
912,3361,2012-04-04 00:25:00
333,18,2012-04-04 00:26:00
333,2286,2012-04-04 00:27:00
7,2601,2012-04-04 00:29:00
195,3618,2012-04-04 00:30:00
1048,3678,2012-04-04 00:30:00
7,1412,2012-04-04 00:33:00
7,4477,2012-04-04 00:33:00
333,2962,2012-04-04 00:34:00
862,4740,2012-04-04 00:34:00
7,4435,2012-04-04 00:35:00
718,4737,2012-04-04 00:38:00
487,1817,2012-04-04 00:40:00
216,4179,2012-04-04 00:45:00
1051,4197,2012-04-04 00:46:00
1051,4197,2012-04-04 00:46:00
407,123,2012-04-04 00:48:00
287,2381,2012-04-04 00:48:00
407,690,2012-04-04 00:50:00
258,3160,2012-04-04 00:53:00
258,222,2012-04-04 00:53:00
967,4847,2012-04-04 01:03:00
889,2273,2012-04-04 01:04:00
936,4500,2012-04-04 01:06:00
936,36,2012-04-04 01:07:00
258,1713,2012-04-04 01:08:00
1051,622,2012-04-04 01:08:00
285,3232,2012-04-04 01:09:00
1051,2100,2012-04-04 01:10:00
55,3971,2012-04-04 01:12:00
56,1941,2012-04-04 01:12:00
345,3956,2012-04-04 01:13:00
55,338,2012-04-04 01:13:00
737,4027,2012-04-04 01:17:00
680,3389,2012-04-04 01:22:00
876,3204,2012-04-04 01:30:00
275,3929,2012-04-04 01:35:00
861,4462,2012-04-04 01:35:00
988,2788,2012-04-04 01:44:00
817,4736,2012-04-04 01:47:00
487,3528,2012-04-04 01:51:00
728,2171,2012-04-04 02:01:00
728,605,2012-04-04 02:03:00
487,1788,2012-04-04 02:06:00
487,285,2012-04-04 02:09:00
676,3440,2012-04-04 02:11:00
451,350,2012-04-04 02:12:00
487,2368,2012-04-04 02:13:00
487,2898,2012-04-04 02:19:00
893,2713,2012-04-04 02:25:00
196,1137,2012-04-04 02:30:00
594,4172,2012-04-04 02:33:00
1051,2348,2012-04-04 02:36:00
1051,4928,2012-04-04 02:36:00
487,4839,2012-04-04 02:36:00
336,685,2012-04-04 02:44:00
963,2697,2012-04-04 02:55:00
34,1617,2012-04-04 02:56:00
1051,3710,2012-04-04 03:00:00
463,4725,2012-04-04 03:08:00
1030,926,2012-04-04 03:09:00
914,2447,2012-04-04 03:12:00
232,755,2012-04-04 03:13:00
25,79,2012-04-04 03:13:00
25,1235,2012-04-04 03:13:00
25,2101,2012-04-04 03:16:00
34,29,2012-04-04 03:20:00
908,3546,2012-04-04 03:21:00
657,4094,2012-04-04 03:21:00
908,3746,2012-04-04 03:21:00
908,1970,2012-04-04 03:22:00
115,1455,2012-04-04 03:25:00
25,4229,2012-04-04 03:26:00
25,925,2012-04-04 03:26:00
109,389,2012-04-04 03:40:00
661,4198,2012-04-04 03:48:00
109,890,2012-04-04 04:03:00
746,4377,2012-04-04 04:14:00
866,1698,2012-04-04 04:20:00
746,2790,2012-04-04 04:22:00
123,2277,2012-04-04 04:28:00
123,1762,2012-04-04 04:28:00
131,3649,2012-04-04 05:24:00
692,2685,2012-04-04 05:27:00
829,2975,2012-04-04 05:30:00
168,3685,2012-04-04 05:39:00
710,3523,2012-04-04 05:42:00
131,4794,2012-04-04 05:45:00
687,2030,2012-04-04 05:54:00
763,808,2012-04-04 05:54:00
620,4357,2012-04-04 06:04:00
620,1629,2012-04-04 06:04:00
93,388,2012-04-04 06:13:00
249,278,2012-04-04 06:14:00
165,1439,2012-04-04 06:14:00
165,3728,2012-04-04 06:14:00
93,1666,2012-04-04 06:15:00
165,2274,2012-04-04 06:15:00
93,4665,2012-04-04 06:16:00
165,3164,2012-04-04 06:16:00
918,3513,2012-04-04 06:28:00
917,2493,2012-04-04 06:29:00
347,1790,2012-04-04 06:30:00
733,572,2012-04-04 06:31:00
949,4407,2012-04-04 06:32:00
687,1495,2012-04-04 06:35:00
397,2849,2012-04-04 06:36:00
700,4767,2012-04-04 06:36:00
397,2646,2012-04-04 06:36:00
173,4794,2012-04-04 06:38:00
347,1067,2012-04-04 06:38:00
34,4834,2012-04-04 06:39:00
124,3093,2012-04-04 06:41:00
696,4609,2012-04-04 06:43:00
696,2389,2012-04-04 06:44:00
955,3057,2012-04-04 06:48:00
63,2276,2012-04-04 06:48:00
